Algorithm,Workgroup,loadfactorAvg,loadfactorMax,itemnumAvg,itemnumMax,,loadfactorAvg,,,,,,,,,,,,,,,,,,,,
MFK,8880,53.43,55,8,12,,,,,,,,,,,,,,,,,,,,,,
MFK,8882,49.44,55,5,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8881,49.17,55,7,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8883,52.5,55,8,12,,,,,,,,,,,,,,,,,,,,,,
MFK,8885,45.2,55,6,12,,,,,,,,,,,,,,,,,,,,,,
MFK,8884,44.5,53,5,12,,,,,,,,,,,,,,,,,,,,,,
MFK,8887,43.67,55,8,10,,,,,,,,,,,,,,,,,,,,,,
MFK,8886,47,57,9,10,,,,,,,,,,,,,,,,,,,,,,
MFK,8889,37.33,55,6,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8891,43,52,10,14,,,,,,,,,,,,,,,,,,,,,,
MFK,8892,36,53,7,12,,,,,,,,,,,,,,,,,,,,,,
MFK,8893,35.67,47,7,10,,,,,,,,,,,,,,,,,,,,,,
MFK,8890,43.2,53,5,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8888,42,53,8,13,,,,,,,,,,,,,,,,,,,,,,
