Algorithm,Workgroup,loadfactorAvg,loadfactorMax,itemnumAvg,itemnumMax,toteNum,skuNum,time(micro-sec),,loadfactorAvg,,,,,,,,,,,,,,,,,,,,
BFD,8891,64.5,68,15,20,2,9,509,,,workgroup_8858,workgroup_8859,workgroup_8876,workgroup_8877,workgroup_8878,workgroup_8879,workgroup_8880,workgroup_8882,workgroup_8881,workgroup_8883,workgroup_8885,workgroup_8884,workgroup_8887,workgroup_8886,workgroup_8889,workgroup_8891,workgroup_8892,workgroup_8893,workgroup_8890,workgroup_8888
BFD,8892,36,53,7,12,3,7,310,,FFD,17555,4131,65,731,573,554,5169,1109,930,1154,716,1665,349,406,272,398,272,249,507,366
BFD,8893,54,61,11.5,12,2,6,270,,BFD,1939,2621,27,321,319,301,2399,1162,1099,1373,786,1773,420,492,207,509,310,270,515,559
BFD,8890,53.75,77,7,8,4,10,515,,MFK,467,686,33,190,173,157,441,358,318,430,325,567,171,240,107,237,164,187,205,258
BFD,8888,42,63,8.67,14,3,8,559,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFK,8858,41.64,51,4.36,11,14,31,467,,,,,,,,,,,,,,,,,,,,,,
MFK,8859,54.6,72,11.2,17,5,16,686,,,,,,,,,,,,,,,,,,,,,,
MFK,8876,11,11,1,1,1,1,33,,,,,,,,,,,,,,,,,,,,,,
MFK,8877,46.75,50,6,10,4,9,190,,,,,,,,,,,,,,,,,,,,,,
MFK,8878,46.75,50,6,10,4,9,173,,,,,,,,,,,,,,,,,,,,,,
MFK,8879,46.75,50,6,10,4,9,157,,,,,,,,,,,,,,,,,,,,,,
MFK,8880,47,52,7.5,10,8,22,441,,,,,,,,,,,,,,,,,,,,,,
MFK,8882,44.6,50,5.2,10,10,21,358,,,,,,,,,,,,,,,,,,,,,,
MFK,8881,42.29,50,6.14,10,7,16,318,,,,,,,,,,,,,,,,,,,,,,
MFK,8883,45.14,52,6.86,14,7,17,430,,,,,,,,,,,,,,,,,,,,,,
MFK,8885,44.8,47,6.8,14,5,13,325,,,,,,,,,,,,,,,,,,,,,,
MFK,8884,41.15,49,5.46,14,13,27,567,,,,,,,,,,,,,,,,,,,,,,
MFK,8887,43.67,50,8,10,3,8,171,,,,,,,,,,,,,,,,,,,,,,
MFK,8886,47,50,9.33,11,3,9,240,,,,,,,,,,,,,,,,,,,,,,
MFK,8889,56,62,9,10,2,5,107,,,,,,,,,,,,,,,,,,,,,,
MFK,8891,43,47,10,15,3,10,237,,,,,,,,,,,,,,,,,,,,,,
MFK,8892,36,49,7,10,3,7,164,,,,,,,,,,,,,,,,,,,,,,
MFK,8893,36,47,7.67,11,3,9,187,,,,,,,,,,,,,,,,,,,,,,
MFK,8890,43,66,5.6,10,5,12,205,,,,,,,,,,,,,,,,,,,,,,
MFK,8888,42,51,8.67,14,3,8,258,,,,,,,,,,,,,,,,,,,,,,
